,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.34,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
19853.87,1.19,6366.15,6366.03,6364.95,0.48,6366.05,6366.15,6365.88,6365.68,6364.95,,DS of Gold Run,19853.87,CWCB-100yr,6366.05,,DS of Gold Run,19825,CWCB-100yr,6365.34,,DS of Gold Run,19792,CWCB-100yr,6363.99,,DS of Gold Run,19765,CWCB-100yr,6363.03,,DS of Gold Run,19741,CWCB-100yr,6362.19
19721.42,0.41,6361.86,6361.75,6361.45,0.17,6361.6,6361.86,6361.80,6361.79,6361.45,,DS of Gold Run,19721.42,CWCB-100yr,6361.6,,DS of Gold Run,19704,CWCB-100yr,6361.27,,DS of Gold Run,19667,CWCB-100yr,6360.11,,DS of Gold Run,19635,CWCB-100yr,6359.34,,DS of Gold Run,19583,CWCB-100yr,6356.18
19523.24,1.79,6357.12,6356.04,6355.33,0.68,6355.33,6356.13,6356.67,6357.12,6355.99,,DS of Gold Run,19523.24,CWCB-100yr,6355.33,,DS of Gold Run,19503,CWCB-100yr,6355.55,,DS of Gold Run,19481,CWCB-100yr,6355.66,,DS of Gold Run,19449,CWCB-100yr,6355.65,,DS of Gold Run,19413,CWCB-100yr,6355.64
19379.68,0.12,6355.63,6355.58,6355.51,0.04,6355.63,6355.60,6355.51,6355.56,6355.57,,DS of Gold Run,19379.68,CWCB-100yr,6355.63,,DS of Gold Run,19368,CWCB-100yr,6355.6,,DS of Gold Run,19347,CWCB-100yr,6355.46,,DS of Gold Run,19339,CWCB-100yr,6355.51,,DS of Gold Run,19330,CWCB-100yr,6355.46
19322.58,0.02,6355.42,6355.41,6355.40,0.01,6355.4,6355.42,6355.42,6355.42,6355.42,,DS of Gold Run,19322.58,CWCB-100yr,6355.4,,DS of Gold Run,19322.58,CWCB-100yr,6355.42,,DS of Gold Run,19322.58,CWCB-100yr,6355.42,,DS of Gold Run,19322.58,CWCB-100yr,6355.42,,DS of Gold Run,19322.58,CWCB-100yr,6355.42
19256,,,,,,,,,,,,DS of Gold Run,19256,,,,DS of Gold Run,19256,,,,DS of Gold Run,19256,,,,DS of Gold Run,19256,,,,DS of Gold Run,19256,,
19246,0.03,6348.63,6348.61,6348.60,0.01,6348.63,6348.60,6348.60,6348.60,6348.60,,DS of Gold Run,19246,CWCB-100yr,6348.63,,DS of Gold Run,19246,CWCB-100yr,6348.6,,DS of Gold Run,19246,CWCB-100yr,6348.6,,DS of Gold Run,19246,CWCB-100yr,6348.6,,DS of Gold Run,19246,CWCB-100yr,6348.6
19191.86,0.41,6347.09,6347.02,6346.69,0.16,6347.03,6347.09,6346.95,6346.89,6346.69,,DS of Gold Run,19191.86,CWCB-100yr,6347.03,,DS of Gold Run,19168,CWCB-100yr,6346.43,,DS of Gold Run,19130,CWCB-100yr,6345.06,,DS of Gold Run,19086,CWCB-100yr,6343.56,,DS of Gold Run,19041,CWCB-100yr,6341.36
19004.87,0.39,6340.13,6339.97,6339.74,0.16,6339.8,6339.98,6340.13,6339.74,6339.86,,DS of Gold Run,19004.87,CWCB-100yr,6339.8,,DS of Gold Run,18976,CWCB-100yr,6338.84,,DS of Gold Run,18942,CWCB-100yr,6337.66,,DS of Gold Run,18890,CWCB-100yr,6334.34,,DS of Gold Run,18845,CWCB-100yr,6333.23
18800.02,0.89,6331.11,6330.46,6330.22,0.33,6330.51,6330.22,6330.64,6330.42,6331.11,,DS of Gold Run,18800.02,CWCB-100yr,6330.51,,DS of Gold Run,18749,CWCB-100yr,6327.72,,DS of Gold Run,18722,CWCB-100yr,6326.78,,DS of Gold Run,18696,CWCB-100yr,6325.89,,DS of Gold Run,18673,CWCB-100yr,6325.11
