,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
60601,0.37,1906.15,1905.98,1905.78,0.15,1906.15,1905.82,1905.98,1905.99,1905.78,,1,60601,100yr,1906.15,,1,60714,100yr,1905.84,,1,60316,100yr,1905.93,,1,60941,100yr,1906.04,,1,61054,100yr,1905.85
60127,0.37,1906.07,1905.90,1905.70,0.15,1906.07,1905.74,1905.90,1905.91,1905.70,,1,60127,100yr,1906.07,,1,60221,100yr,1905.76,,1,59821,100yr,1905.84,,1,60411,100yr,1905.96,,1,60506,100yr,1905.76
59617,0.38,1905.97,1905.79,1905.59,0.15,1905.97,1905.62,1905.79,1905.80,1905.59,,1,59617,100yr,1905.97,,1,59719,100yr,1905.65,,1,59358,100yr,1905.72,,1,59923,100yr,1905.87,,1,60025,100yr,1905.68
59186,0.38,1905.86,1905.69,1905.48,0.15,1905.86,1905.52,1905.68,1905.71,1905.48,,1,59186,100yr,1905.86,,1,59272,100yr,1905.54,,1,58853,100yr,1905.6,,1,59444,100yr,1905.76,,1,59530,100yr,1905.57
58632,0.40,1905.75,1905.57,1905.35,0.16,1905.75,1905.40,1905.55,1905.59,1905.35,,1,58632,100yr,1905.75,,1,58742,100yr,1905.42,,1,58329,100yr,1905.49,,1,58964,100yr,1905.66,,1,59075,100yr,1905.45
58127,0.45,1905.69,1905.47,1905.24,0.18,1905.69,1905.29,1905.44,1905.47,1905.24,,1,58127,100yr,1905.69,,1,58228,100yr,1905.31,,1,57839,100yr,1905.38,,1,58430,100yr,1905.54,,1,58531,100yr,1905.33
57648,0.41,1905.55,1905.36,1905.14,0.16,1905.55,1905.19,1905.34,1905.38,1905.14,,1,57648,100yr,1905.55,,1,57743,100yr,1905.2,,1,57393,100yr,1905.29,,1,57935,100yr,1905.43,,1,58031,100yr,1905.22
57224,0.43,1905.53,1905.32,1905.10,0.17,1905.53,1905.16,1905.28,1905.33,1905.10,,1,57224,100yr,1905.53,,1,57308,100yr,1905.17,,1,56888,100yr,1905.25,,1,57478,100yr,1905.35,,1,57563,100yr,1905.12
56664,0.39,1905.40,1905.23,1905.01,0.15,1905.4,1905.08,1905.22,1905.27,1905.01,,1,56664,100yr,1905.4,,1,56776,100yr,1905.1,,1,56410,100yr,1905.18,,1,57000,100yr,1905.32,,1,57112,100yr,1905.09
56241,0.38,1905.34,1905.17,1904.96,0.15,1905.34,1905.02,1905.16,1905.21,1904.96,,1,56241,100yr,1905.34,,1,56325,100yr,1905.03,,1,55924,100yr,1905.12,,1,56494,100yr,1905.24,,1,56579,100yr,1905
55713,0.38,1905.27,1905.11,1904.89,0.15,1905.27,1904.96,1905.09,1905.15,1904.89,,1,55713,100yr,1905.27,,1,55818,100yr,1904.97,,1,55432,100yr,1905.06,,1,56029,100yr,1905.18,,1,56135,100yr,1904.95
55246,0.38,1905.22,1905.05,1904.84,0.15,1905.22,1904.90,1905.04,1905.10,1904.84,,1,55246,100yr,1905.22,,1,55339,100yr,1904.91,,1,54937,100yr,1905,,1,55526,100yr,1905.13,,1,55619,100yr,1904.88
54731,0.40,1905.17,1904.99,1904.77,0.16,1905.17,1904.83,1904.96,1905.03,1904.77,,1,54731,100yr,1905.17,,1,54834,100yr,1904.85,,1,54467,100yr,1904.92,,1,55040,100yr,1905.07,,1,55143,100yr,1904.83
54291,0.40,1905.07,1904.90,1904.67,0.16,1905.07,1904.75,1904.88,1904.94,1904.67,,1,54291,100yr,1905.07,,1,54379,100yr,1904.77,,1,53947,100yr,1904.79,,1,54555,100yr,1905,,1,54643,100yr,1904.76
53718,0.42,1904.98,1904.78,1904.56,0.17,1904.98,1904.61,1904.75,1904.83,1904.56,,1,53718,100yr,1904.98,,1,53832,100yr,1904.63,,1,53455,100yr,1904.7,,1,54061,100yr,1904.89,,1,54176,100yr,1904.64
